,precision,recall,f1-score,support
Conditional,0.95,0.9620253164556962,0.9559748427672956,79.0
Not Recommended,0.967741935483871,0.9375,0.9523809523809523,32.0
Recommended,0.9767441860465116,0.9767441860465116,0.9767441860465116,86.0
accuracy,0.9644670050761421,0.9644670050761421,0.9644670050761421,0.9644670050761421
macro avg,0.9648287071767943,0.9587565008340692,0.9616999937315865,197.0
weighted avg,0.9645570656623546,0.9644670050761421,0.9644578835269382,197.0
