,precision,recall,f1-score,support
Conditional,0.978494623655914,0.9680851063829787,0.9732620320855615,94.0
Not Recommended,0.9850746268656716,0.9850746268656716,0.9850746268656716,67.0
Recommended,0.9545454545454546,0.9767441860465116,0.9655172413793104,43.0
accuracy,0.9754901960784313,0.9754901960784313,0.9754901960784313,0.9754901960784313
macro avg,0.9727049016890135,0.976634639765054,0.9746179667768479,204.0
weighted avg,0.9756075939662279,0.9754901960784313,0.9755091784085939,204.0
