actor,dea_score_filled,rc_viability_score,margin_score,asset_utilization_score,cost_burden_score,crisis_resilience_score
Farmer,0.2281350070713614,0.9617240018787957,0.50125,0.50125,0.49875,0.83375
Middlemen,0.39671889461994375,0.7106908122156272,0.5048076923076923,0.5048076923076923,0.4951923076923077,0.09975961538461539
Retail,0.6175573010858917,0.43848048587672617,0.5049019607843137,0.5049019607843137,0.4950980392156863,0.0
Rice Miller,0.2971323418975152,0.8439803693161788,0.5047619047619047,0.5047619047619047,0.49523809523809526,0.2916666666666667
Wholesaler,0.055756046898946615,0.8179965912274055,0.5048076923076923,0.5048076923076923,0.4951923076923077,0.3954326923076923
