,precision,recall,f1-score,support
Not Recommended,0.9230769230769231,0.7058823529411765,0.8,17.0
Conditional,0.9369369369369369,0.9454545454545454,0.9411764705882353,110.0
Recommended,0.9315068493150684,0.9714285714285714,0.951048951048951,70.0
accuracy,0.934010152284264,0.934010152284264,0.934010152284264,0.934010152284264
macro avg,0.9305069031096428,0.8742551566080978,0.8974084738790621,197.0
weighted avg,0.9338114223727185,0.934010152284264,0.9325017174524489,197.0
