cluster,n,mean_dea,mean_rc,mean_margin,mean_crisis,support_score
0,443,0.7770375359625207,0.8969661655423622,10406401.567500083,0.06245297215951844,0.0
1,340,0.6120112013163826,2.7168828165913146,55808694.230177544,0.8970588235294118,0.5
2,4,1.0,1.2858288450469937,1668576923.1305342,0.25,1.0
