actor,n,median_rc,rc_below_1_share,median_margin,median_total_cost,median_output_value
Retail,102,0.5068643455455348,0.9705882352941176,-2885000.0,5887500.0,3000000.0
Middlemen,104,0.8887302618065418,0.6730769230769231,-4767673.399125822,79400000.0,88000000.0
Wholesaler,104,1.0650002603759825,0.41346153846153844,19999999.99999988,142800000.0,180000000.0
Rice Miller,105,1.094524018849414,0.3238095238095238,8805423.551756881,126370227.92022796,139000000.0
Farmer,400,2.1170379586659522,0.095,10929000.0,9711400.0,24525000.0
