model,accuracy,balanced_accuracy,macro_f1,weighted_f1
Random Forest,0.934010152284264,0.8742551566080978,0.8974084738790621,0.9325017174524489
Decision Tree,0.9137055837563451,0.9084033613445378,0.8776727148820171,0.9156307038493321
